序号,品牌,系列,型号/表头,容量标识,容量_Ton,制冷量_BTU/h,制热量_BTU/h,电源/电压,规范电压_V,制冷功率_W,制冷电流_A,EEER/EER_W/W,SEER/SEEER_W/W,HSPF,除湿量_L/h,最大输入_W,最大电流_A,冷媒_原文,冷媒类型_规范,冷媒充注_kg,蒸发器尺寸_mm,冷凝器尺寸_mm,蒸发器净重_kg,冷凝器净重_kg,室内噪音_dB(A),室外噪音_dB(A),室内风量_m3/h,适用面积_m2,液管_in,气管_in,蒸发器单冷型号,蒸发器冷暖型号,冷凝器单冷型号,冷凝器冷暖型号,来源文件,来源URL,网站录入年月_链接,图片/PDF元数据时间,备注
11,Prime,Bright 3,121-B3,12K,1,12000,12000,110-120V/60Hz,115,1250,11.1,,18.25,8.6,1.2,1776,15.9,R32,R32,0.59,805*197*270,660*530*250,,,42/40/38/36,50,550/500/450/400,,"1/4""","3/8""",EMPRC121-B3,EMPRN121-B3,CMPRC121-B3,CMPRN121-B3,data/prime/source_images_20260528_102300/BRIGHT_3_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/11/BRIGHT_3_POPUP.jpg,2025-11,2025:10:30 16:15:17,来源图未显示净重/毛重字段；保留为空。
12,Prime,Bright 3,122-B3,12K,1,12000,12000,220-230V/60Hz,220,1260,5.9,,18.3,8.6,1.2,1788,8.4,R32,R32,0.62,805*197*270,660*530*250,,,42/40/38/36,50,550/500/450/400,,"1/4""","3/8""",EMPRC122-B3,EMPRN122-B3,CMPRC122-B3,CMPRN122-B3,data/prime/source_images_20260528_102300/BRIGHT_3_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/11/BRIGHT_3_POPUP.jpg,2025-11,2025:10:30 16:15:17,来源图未显示净重/毛重字段；保留为空。
13,Prime,Bright 3,182-B3,18K,1.5,18000,18000,220-230V/60Hz,220,1880,8.5,,20.05,8.6,1.8,2899,13.6,R32,R32,0.95,910*225*295,780*560*270,,,44/41/38/35,54,820/720/620/520,,"1/4""","1/2""",EMPRC182-B3,EMPRN182-B3,CMPRC182-B3,CMPRN182-B3,data/prime/source_images_20260528_102300/BRIGHT_3_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/11/BRIGHT_3_POPUP.jpg,2025-11,2025:10:30 16:15:17,来源图未显示净重/毛重字段；保留为空。
14,Prime,Bright 3,242-B3,24K,2,24000,24000,220-230V/60Hz,220,2450,11.5,,20.58,8.6,2.2,3505,16.4,R32,R32,1.1,1030*223*319,780*560*270,,,46/43/40/37,54,1150/1080/1000/850,,"1/4""","1/2""",EMPRC242-B3,EMPRN242-B3,CMPRC242-B3,CMPRN242-B3,data/prime/source_images_20260528_102300/BRIGHT_3_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/11/BRIGHT_3_POPUP.jpg,2025-11,2025:10:30 16:15:17,来源图未显示净重/毛重字段；保留为空。
15,Prime,Bright 3,362-B3,36K,3,36000,36000,220-230V/60Hz,220,3900,18,,18.01,8.6,2.5,3983,18.7,R32,R32,1.6,1165*326*232,860*720*320,,,48/45/42/39,56,1300/1200/1000/900,,"1/4""","5/8""",EMPRC362-B3,EMPRN362-B3,CMPRC362-B3,CMPRN362-B3,data/prime/source_images_20260528_102300/BRIGHT_3_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/11/BRIGHT_3_POPUP.jpg,2025-11,2025:10:30 16:15:17,来源图未显示净重/毛重字段；保留为空。
16,Prime,Vantage 3,121-V3,12K,1,12000,12000,115V/60Hz,115,1040,9.1(2.0-11),,20,,1,1600,11,R32,R32,0.5,761*295*200,711*538*280,8,23,42,,600,,,,EMPRC121-V3,EMPRN121-V3,CMPRC121-V3,CMPRN121-V3,data/prime/source_pdfs_20260528_103702/FICHA_V3_compressed.pdf,https://prime.com.mx/wp-content/uploads/2026/05/FICHA_V3_compressed.pdf,2026-05,PDF CreationDate D:20260430113341-05'00'; ModDate D:20260526035613Z,PDF 原表容量单位为 W；核心表制冷/制热量按 12K/18K/24K 容量标识记录为 BTU/h，W 原文保留在扩展表。
17,Prime,Vantage 3,122-V3,12K,1,12000,12000,220V/60Hz,220,1200,5.5(1.7-8.1),,20,,1,1350,6,R32,R32,0.58,761*295*200,711*538*280,8,24,42,,600,,,,EMPRC122-V3,EMPRN122-V3,CMPRC122-V3,CMPRN122-V3,data/prime/source_pdfs_20260528_103702/FICHA_V3_compressed.pdf,https://prime.com.mx/wp-content/uploads/2026/05/FICHA_V3_compressed.pdf,2026-05,PDF CreationDate D:20260430113341-05'00'; ModDate D:20260526035613Z,PDF 原表容量单位为 W；核心表制冷/制热量按 12K/18K/24K 容量标识记录为 BTU/h，W 原文保留在扩展表。
18,Prime,Vantage 3,182-V3,18K,1.5,18000,18000,220V/60Hz,220,1400,6.2(1.9-8.4),,20,,1.6,2200,12,R32,R32,1.03,900*310*225,786*556*304,11.5,28,49,,1050,,,,EMPRC182-V3,EMPRN182-V3,CMPRC182-V3,CMPRN182-V3,data/prime/source_pdfs_20260528_103702/FICHA_V3_compressed.pdf,https://prime.com.mx/wp-content/uploads/2026/05/FICHA_V3_compressed.pdf,2026-05,PDF CreationDate D:20260430113341-05'00'; ModDate D:20260526035613Z,PDF 原表容量单位为 W；核心表制冷/制热量按 12K/18K/24K 容量标识记录为 BTU/h，W 原文保留在扩展表。
19,Prime,Vantage 3,242-V3,24K,2,24000,24000,220V/60Hz,220,2100,10,,20,,2.36,3400,16,R32,R32,1.3,1082*330*233,824*655*320,13,31.5,50,,1300,,,,EMPRC242-V3,EMPRN242-V3,CMPRC242-V3,CMPRN242-V3,data/prime/source_pdfs_20260528_103702/FICHA_V3_compressed.pdf,https://prime.com.mx/wp-content/uploads/2026/05/FICHA_V3_compressed.pdf,2026-05,PDF CreationDate D:20260430113341-05'00'; ModDate D:20260526035613Z,PDF 原表容量单位为 W；核心表制冷/制热量按 12K/18K/24K 容量标识记录为 BTU/h，W 原文保留在扩展表。
20,Prime,Ultra 3,121-U3,12K,1,12000,12000,115V / 60Hz,115,960,8.5(1.7-8.1),6.44,22,10,1,1600,12.5,R32,R32,,827*299*200,711*538*280,,,,,700,,DG4 / 1/4,DG8 / 3/8,EMPRC121-U3,EMPRN121-U3,CMPRC121-U3,CMPRN121-U3,data/prime/source_pdfs_20260528_103702/SEER22_ULTRA_compressed.pdf,https://prime.com.mx/wp-content/uploads/2026/05/SEER22_ULTRA_compressed.pdf,2026-05,PDF CreationDate D:20260521135149-05'00'; ModDate D:20260526004822Z,PDF 原表容量单位为 W；核心表制冷/制热量按 12K/18K/24K 容量标识记录为 BTU/h，W 原文保留在扩展表。
21,Prime,Ultra 3,122-U3,12K,1,12000,12000,208-230V / 60Hz,220,880,4.4(1.7-8.1),6.44,22,10,1,1600,10.5,R32,R32,,827*299*200,711*538*280,,,,,690,,DG4 / 1/4,DG8 / 3/8,EMPRC122-U3,EMPRN122-U3,CMPRC122-U3,CMPRN122-U3,data/prime/source_pdfs_20260528_103702/SEER22_ULTRA_compressed.pdf,https://prime.com.mx/wp-content/uploads/2026/05/SEER22_ULTRA_compressed.pdf,2026-05,PDF CreationDate D:20260521135149-05'00'; ModDate D:20260526004822Z,PDF 原表容量单位为 W；核心表制冷/制热量按 12K/18K/24K 容量标识记录为 BTU/h，W 原文保留在扩展表。
22,Prime,Ultra 3,182-U3,18K,1.5,18000,18000,208-230V / 60Hz,220,1400,6.2(1.9-8.4),6.44,22,9,1.6,2200,12,R32,R32,,997*316*227,786*556*304,,,,,1050,,DG4 / 1/4,DG10 / 1/2,EMPRC182-U3,EMPRN182-U3,CMPRC182-U3,CMPRN182-U3,data/prime/source_pdfs_20260528_103702/SEER22_ULTRA_compressed.pdf,https://prime.com.mx/wp-content/uploads/2026/05/SEER22_ULTRA_compressed.pdf,2026-05,PDF CreationDate D:20260521135149-05'00'; ModDate D:20260526004822Z,PDF 原表容量单位为 W；核心表制冷/制热量按 12K/18K/24K 容量标识记录为 BTU/h，W 原文保留在扩展表。
23,Prime,Ultra 3,242-U3,24K,2,24000,24000,208-230V / 60Hz,220,2000,8.7,6.44,22,9,1.8,2800,15,R32,R32,,1132*330*232,894*700*360,,,,,1300,,DG4 / 1/4,DG13 / 5/8,EMPRC242-U3,EMPRN242-U3,CMPRC242-U3,CMPRN242-U3,data/prime/source_pdfs_20260528_103702/SEER22_ULTRA_compressed.pdf,https://prime.com.mx/wp-content/uploads/2026/05/SEER22_ULTRA_compressed.pdf,2026-05,PDF CreationDate D:20260521135149-05'00'; ModDate D:20260526004822Z,PDF 原表容量单位为 W；核心表制冷/制热量按 12K/18K/24K 容量标识记录为 BTU/h，W 原文保留在扩展表。
